District,Total_corona_cases_March,Total_corona_death_March,Total_corona_recoveries_March,Total_corona_cases_April,Total_corona_death_April,Total_corona_recoveries_April,Total_corona_cases_June,Total_corona_death_June,Total_corona_recoveries_june,Latitude (generated),Longitude (generated),TotalPopulation,Area(km^2)
Pishin,0,0,0,1,0,0,3,0,0,30.584213,66.995823,736481,"7,819"
Qambar Shahdadkot,0,0,0,4,0,0,79,0,92,27.85,68.001,1341042,5881
Quetta,137,1,19,1051,13,157,3161,31,1277,30.1802,66.9964,2275699,"2,653"
Rahim Yar Khan,3,1,0,86,0,2,147,15,44,28.424043,70.300054,4814006,"11,880"
Raiwind,52,0,1,494,1,0,807,7,78,31.254,74.217,855626,
Rajanpur,0,0,0,9,0,0,23,0,0,29.103,70.325,1995958,"12,318"
Rawalpindi,44,0,0,143,1,0,567,35,44,33.5546,73.1064,5405633,"5,286"
Sahiwal,0,0,0,8,0,0,14,0,0,30.677717,73.106812,2517560,"3,201"
Sanghar,1,0,0,19,0,2,30,1,25,26.033,68.95,2057057,"10,608"
Sargodha,3,0,0,161,0,4,174,8,20,32.0778,72.6722,3703588,"5,854"
Shaheed Benazirabad,2,0,0,23,1,6,120,1,55,26.235284,68.388627,1612847,"4,502"
Shangla,1,0,0,25,1,9,91,0,25,34.852059,72.738327,377771,1586
Sheerani,0,0,0,0,0,0,0,0,0,31.6943,69.7644,153116,"2,800"
Sheikhupura,4,0,0,25,0,0,78,0,15,31.713,73.978,3187926,"3,030"
Shigar,16,0,1,22,0,18,30,0,20,35.4333,75.7333,62707,"8,500"
Shikarpur,14,0,0,57,0,0,168,4,124,27.957,68.637,1231481,"2,640"
Sialkot,20,0,0,78,0,0,124,10,37,32.4836,74.556,3893672,"3,016"
Sibi,0,0,0,0,0,0,0,0,0,29.5532,67.8808,135572,"29,220"
Skardu,1,0,3,18,0,0,49,1,2,35.317806,75.552296,214848,77
Sohbatpur,0,0,0,0,0,0,0,0,0,28.5188,68.5411,200538,978
South Waziristan,1,0,0,2,0,2,1,0,1,32.399536,69.727014,679185,"6,619"
Sujawal,0,0,0,9,0,1,12,0,13,24.6025,68.0737,781967,"7,355"
Sukkur,149,0,33,156,2,147,274,3,246,27.7221,68.8333,1487903,"5,165"
Swabi,4,0,0,7,2,12,103,7,36,34.12,72.472,1624616,"1,543"
Swat,3,0,0,99,11,36,664,32,194,35.429612,72.566529,1427140,"5,337"
Taftan,12,0,0,24,2,0,30,2,5,28.964802,61.585609,226008,
Tando Allah Yar,2,0,0,8,0,6,12,0,14,25.462,68.719,836887,"1,588"
Tando Muhammad Khan,2,0,0,32,0,17,42,0,25,25.133,68.533,677228,"1,734"
Tank,0,0,0,1,0,1,7,0,6,32.221,70.379,391885,"1,679"
Tharparkar,0,0,0,3,0,0,4,0,2,24.877678,70.240829,1649661,"19,638"
Thatta,0,0,0,8,0,3,39,2,7,24.747,67.923,979817,"17,355"
Toba Tek Singh,0,0,0,7,0,0,9,1,0,30.974,72.482,2190015,"4,364"
Tor Ghar,0,0,0,2,0,0,2,0,0,30.0325,67.900278,171395,497
Trarkhel,0,0,0,1,0,0,2,0,0,33.7615,73.7882,297584,234
Umerkot,0,0,0,4,0,1,4,0,1,25.366,69.733,1073146,"5,608"
Upper Dir,2,0,0,7,0,0,19,0,0,35.3356,72.0468,946421,"3,699"
Vehari,2,0,0,70,0,6,80,4,12,30.033,72.35,1882061,"4,364"
Washuk,0,0,0,0,0,0,0,0,0,27.7179,64.8052,108170,"29,510"
Zhob,0,0,0,0,0,0,0,0,0,31.3497,69.4665,310544,"20,297"
Ziarat,1,0,0,1,0,0,1,0,0,30.38244,67.72562,160422,926
