District,Total_corona_cases_March,Total_corona_death_March,Total_corona_recoveries_March,Total_corona_cases_April,Total_corona_death_April,Total_corona_recoveries_April,Total_corona_cases_June,Total_corona_death_June,Total_corona_recoveries_june,Latitude_1,Longitud_1,TotalPopul,Population_Density,Area
Mansehra,6.000000,0.000000,0.000000,46.000000,3.000000,8.000000,71.000000,11.000000,13.000000,34.333000,73.200000,1556460.000000,361.441638,4306.25538713000
Mardan,57.000000,1.000000,9.000000,86.000000,4.000000,47.000000,299.000000,14.000000,73.000000,34.198000,72.045000,2373061.000000,1445.980340,1641.14333614000
Mastung,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.882500,66.784400,266461.000000,46.706178,5705.04828125000
Matiari,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,7.000000,1.000000,45.000000,25.596000,68.446000,769349.000000,527.658205,1458.04422777000
Mianwali,3.000000,0.000000,0.000000,15.000000,0.000000,1.000000,30.000000,0.000000,5.000000,32.574000,71.526000,1546094.000000,256.276009,6032.92522887000
Mirpur Khas,1.000000,0.000000,0.000000,10.000000,0.000000,0.000000,26.000000,2.000000,16.000000,25.525000,69.015000,1505876.000000,508.306229,2962.53698063000
Mohmand,2.000000,0.000000,0.000000,2.000000,1.000000,0.000000,14.000000,0.000000,4.000000,34.565500,71.477400,466984.000000,206.534279,2261.04839117000
Multan,75.000000,2.000000,1.000000,637.000000,0.000000,0.000000,785.000000,5.000000,45.000000,30.173500,71.469000,4745109.000000,1300.857971,3647.67645969000
Musakhel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.847800,69.955000,167017.000000,27.952197,5975.09385180000
Muzaffargarh,10.000000,0.000000,0.000000,61.000000,0.000000,0.000000,112.000000,5.000000,80.000000,30.075000,71.192000,4322009.000000,563.520887,7669.65182176000
Nankana Sahib,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.449200,73.712500,1628874.000000,584.743560,2785.62110308000
Narowal,1.000000,0.000000,0.000000,30.000000,0.000000,0.000000,60.000000,0.000000,0.000000,32.100000,74.883000,1709757.000000,718.925020,2378.21323888000
Nasirabad,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.379300,67.919600,490538.000000,151.978314,3227.68418714000
Naushahro Feroze,0.000000,0.000000,0.000000,20.000000,0.000000,1.000000,28.000000,1.000000,21.000000,26.842000,68.122000,1612373.000000,530.518224,3039.24149371000
