File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A3_006__1_km_monthly_NDVI_doy2016001_aid0001,_1_km_monthly_NDVI,aid0001,2016-01-01,1033.0,-0.1003,0.9718,"(-0.1003,0.9718)",0.3873,0.1941,0.0377,0.4905,0.7337,0.3955,0.0864,0.3277
MOD13A3_006__1_km_monthly_NDVI_doy2016032_aid0001,_1_km_monthly_NDVI,aid0001,2016-02-01,1033.0,-0.0346,0.9569,"(-0.0346,0.9569)",0.3979,0.1934,0.0374,0.5104,0.7789,0.3985,0.0617,0.3308
MOD13A3_006__1_km_monthly_NDVI_doy2016061_aid0001,_1_km_monthly_NDVI,aid0001,2016-03-01,1035.0,-0.0358,0.8011,"(-0.0358,0.8011)",0.399,0.18,0.0324,0.5,0.7149,0.4253,0.1401,0.3554
MOD13A3_006__1_km_monthly_NDVI_doy2016092_aid0001,_1_km_monthly_NDVI,aid0001,2016-04-01,1035.0,-0.0593,0.8094,"(-0.0593,0.8094)",0.4945,0.1878,0.0353,0.5968,0.7794,0.539,0.2775,0.4679
MOD13A3_006__1_km_monthly_NDVI_doy2016122_aid0001,_1_km_monthly_NDVI,aid0001,2016-05-01,1035.0,-0.0099,0.8233,"(-0.0099,0.8233)",0.563,0.1534,0.0235,0.6654,0.8233,0.5881,0.2716,0.505
MOD13A3_006__1_km_monthly_NDVI_doy2016153_aid0001,_1_km_monthly_NDVI,aid0001,2016-06-01,1035.0,0.0291,0.8458,"(0.0291,0.8458)",0.6284,0.1381,0.0191,0.7323,0.8458,0.6507,0.2878,0.5539
MOD13A3_006__1_km_monthly_NDVI_doy2016183_aid0001,_1_km_monthly_NDVI,aid0001,2016-07-01,1035.0,0.1002,0.8986,"(0.1002,0.8986)",0.6761,0.1166,0.0136,0.7621,0.8986,0.6921,0.4081,0.62
MOD13A3_006__1_km_monthly_NDVI_doy2016214_aid0001,_1_km_monthly_NDVI,aid0001,2016-08-01,1035.0,0.1271,0.8681,"(0.1271,0.8681)",0.6855,0.0991,0.0098,0.7581,0.8681,0.701,0.444,0.6312
MOD13A3_006__1_km_monthly_NDVI_doy2016245_aid0001,_1_km_monthly_NDVI,aid0001,2016-09-01,1035.0,0.1496,0.844,"(0.1496,0.844)",0.6515,0.1017,0.0103,0.7248,0.844,0.6602,0.4201,0.5958
MOD13A3_006__1_km_monthly_NDVI_doy2016275_aid0001,_1_km_monthly_NDVI,aid0001,2016-10-01,1035.0,0.1427,0.7873,"(0.1427,0.7873)",0.5097,0.1113,0.0124,0.592,0.7873,0.4944,0.2275,0.4354
MOD13A3_006__1_km_monthly_NDVI_doy2016306_aid0001,_1_km_monthly_NDVI,aid0001,2016-11-01,1035.0,0.0449,0.7132,"(0.0449,0.7132)",0.4272,0.1128,0.0127,0.5065,0.7132,0.4023,0.1121,0.3458
MOD13A3_006__1_km_monthly_NDVI_doy2016336_aid0001,_1_km_monthly_NDVI,aid0001,2016-12-01,1035.0,0.0115,0.8121,"(0.0115,0.8121)",0.4146,0.1301,0.0169,0.5098,0.7773,0.3799,0.0639,0.3249
MOD13A3_006__1_km_monthly_NDVI_doy2017001_aid0001,_1_km_monthly_NDVI,aid0001,2017-01-01,1029.0,-0.0767,0.7663,"(-0.0767,0.7663)",0.2971,0.1797,0.0323,0.3986,0.7314,0.3095,-0.0767,0.1699
MOD13A3_006__1_km_monthly_NDVI_doy2017032_aid0001,_1_km_monthly_NDVI,aid0001,2017-02-01,1031.0,-0.0423,0.8804,"(-0.0423,0.8804)",0.3336,0.1804,0.0325,0.4361,0.696,0.3374,-0.0056,0.259
MOD13A3_006__1_km_monthly_NDVI_doy2017060_aid0001,_1_km_monthly_NDVI,aid0001,2017-03-01,1035.0,-0.0261,0.8539,"(-0.0261,0.8539)",0.3642,0.1788,0.032,0.4631,0.6947,0.3907,0.0765,0.3082
MOD13A3_006__1_km_monthly_NDVI_doy2017091_aid0001,_1_km_monthly_NDVI,aid0001,2017-04-01,1035.0,-0.022,0.8071,"(-0.022,0.8071)",0.4513,0.1767,0.0312,0.5506,0.7407,0.4902,0.2225,0.4192
MOD13A3_006__1_km_monthly_NDVI_doy2017121_aid0001,_1_km_monthly_NDVI,aid0001,2017-05-01,1035.0,-0.0205,0.8136,"(-0.0205,0.8136)",0.5566,0.144,0.0207,0.6451,0.8136,0.5774,0.3305,0.5187
MOD13A3_006__1_km_monthly_NDVI_doy2017152_aid0001,_1_km_monthly_NDVI,aid0001,2017-06-01,1035.0,0.0476,0.8533,"(0.0476,0.8533)",0.6033,0.1335,0.0178,0.7006,0.8533,0.624,0.2712,0.5258
MOD13A3_006__1_km_monthly_NDVI_doy2017182_aid0001,_1_km_monthly_NDVI,aid0001,2017-07-01,1035.0,0.0437,0.8506,"(0.0437,0.8506)",0.6563,0.1108,0.0123,0.737,0.8506,0.6717,0.3955,0.5993
MOD13A3_006__1_km_monthly_NDVI_doy2017213_aid0001,_1_km_monthly_NDVI,aid0001,2017-08-01,1035.0,0.1101,0.8449,"(0.1101,0.8449)",0.6858,0.0955,0.0091,0.7543,0.8449,0.7038,0.4396,0.6281
MOD13A3_006__1_km_monthly_NDVI_doy2017244_aid0001,_1_km_monthly_NDVI,aid0001,2017-09-01,1035.0,0.0769,0.8305,"(0.0769,0.8305)",0.6318,0.1062,0.0113,0.7092,0.8305,0.6407,0.3598,0.566
MOD13A3_006__1_km_monthly_NDVI_doy2017274_aid0001,_1_km_monthly_NDVI,aid0001,2017-10-01,1035.0,0.093,0.7668,"(0.093,0.7668)",0.4792,0.1021,0.0104,0.5428,0.7346,0.4667,0.2237,0.4133
MOD13A3_006__1_km_monthly_NDVI_doy2017305_aid0001,_1_km_monthly_NDVI,aid0001,2017-11-01,1035.0,0.0917,0.8421,"(0.0917,0.8421)",0.4183,0.1034,0.0107,0.4836,0.6841,0.3978,0.1554,0.3474
MOD13A3_006__1_km_monthly_NDVI_doy2017335_aid0001,_1_km_monthly_NDVI,aid0001,2017-12-01,1035.0,-0.0406,0.8514,"(-0.0406,0.8514)",0.3969,0.1592,0.0253,0.5026,0.7623,0.3821,0.0296,0.3124
MOD13A3_006__1_km_monthly_NDVI_doy2018001_aid0001,_1_km_monthly_NDVI,aid0001,2018-01-01,1035.0,-0.0446,0.8594,"(-0.0446,0.8594)",0.3789,0.172,0.0296,0.4921,0.7649,0.3646,0.017,0.3017
MOD13A3_006__1_km_monthly_NDVI_doy2018032_aid0001,_1_km_monthly_NDVI,aid0001,2018-02-01,1035.0,-0.0351,0.8618,"(-0.0351,0.8618)",0.3624,0.1615,0.0261,0.466,0.7306,0.3501,0.0253,0.2888
MOD13A3_006__1_km_monthly_NDVI_doy2018060_aid0001,_1_km_monthly_NDVI,aid0001,2018-03-01,1035.0,-0.0364,0.7859,"(-0.0364,0.7859)",0.3801,0.1524,0.0232,0.4629,0.6575,0.3949,0.1432,0.3329
MOD13A3_006__1_km_monthly_NDVI_doy2018091_aid0001,_1_km_monthly_NDVI,aid0001,2018-04-01,1035.0,-0.0451,0.7587,"(-0.0451,0.7587)",0.4749,0.1649,0.0272,0.5697,0.7587,0.5088,0.2468,0.44
MOD13A3_006__1_km_monthly_NDVI_doy2018121_aid0001,_1_km_monthly_NDVI,aid0001,2018-05-01,1035.0,-0.0407,0.7893,"(-0.0407,0.7893)",0.5516,0.1314,0.0173,0.6325,0.7893,0.5703,0.3193,0.5066
MOD13A3_006__1_km_monthly_NDVI_doy2018152_aid0001,_1_km_monthly_NDVI,aid0001,2018-06-01,1035.0,0.0388,0.8128,"(0.0388,0.8128)",0.6102,0.1201,0.0144,0.7011,0.8128,0.6232,0.3163,0.5464
MOD13A3_006__1_km_monthly_NDVI_doy2018182_aid0001,_1_km_monthly_NDVI,aid0001,2018-07-01,1035.0,0.1216,0.8589,"(0.1216,0.8589)",0.6706,0.1069,0.0114,0.7492,0.8589,0.6882,0.4205,0.6175
MOD13A3_006__1_km_monthly_NDVI_doy2018213_aid0001,_1_km_monthly_NDVI,aid0001,2018-08-01,1035.0,0.1702,0.8567,"(0.1702,0.8567)",0.6893,0.0946,0.0089,0.755,0.8567,0.7101,0.4823,0.6452
MOD13A3_006__1_km_monthly_NDVI_doy2018244_aid0001,_1_km_monthly_NDVI,aid0001,2018-09-01,1035.0,0.0906,0.7996,"(0.0906,0.7996)",0.6261,0.0944,0.0089,0.6959,0.7996,0.634,0.4026,0.5764
MOD13A3_006__1_km_monthly_NDVI_doy2018274_aid0001,_1_km_monthly_NDVI,aid0001,2018-10-01,1035.0,-0.0046,0.7809,"(-0.0046,0.7809)",0.5372,0.1169,0.0137,0.6163,0.7809,0.5317,0.2707,0.4776
MOD13A3_006__1_km_monthly_NDVI_doy2018305_aid0001,_1_km_monthly_NDVI,aid0001,2018-11-01,1035.0,-0.0401,0.8361,"(-0.0401,0.8361)",0.4487,0.1794,0.0322,0.55,0.761,0.4699,0.2,0.407
MOD13A3_006__1_km_monthly_NDVI_doy2018335_aid0001,_1_km_monthly_NDVI,aid0001,2018-12-01,1035.0,-0.038,0.8213,"(-0.038,0.8213)",0.4325,0.1747,0.0305,0.5389,0.767,0.4344,0.1235,0.3716
MOD13A3_006__1_km_monthly_NDVI_doy2019001_aid0001,_1_km_monthly_NDVI,aid0001,2019-01-01,1035.0,-0.0599,0.9184,"(-0.0599,0.9184)",0.2623,0.177,0.0313,0.4035,0.797,0.2927,-0.0599,0.095
MOD13A3_006__1_km_monthly_NDVI_doy2019032_aid0001,_1_km_monthly_NDVI,aid0001,2019-02-01,1035.0,-0.0203,0.9184,"(-0.0203,0.9184)",0.2884,0.1803,0.0325,0.4048,0.797,0.3285,-0.0203,0.1204
MOD13A3_006__1_km_monthly_NDVI_doy2019060_aid0001,_1_km_monthly_NDVI,aid0001,2019-03-01,1031.0,-0.063,0.7559,"(-0.063,0.7559)",0.3354,0.1816,0.033,0.4563,0.7559,0.3802,-0.0459,0.2532
MOD13A3_006__1_km_monthly_NDVI_doy2019091_aid0001,_1_km_monthly_NDVI,aid0001,2019-04-01,1035.0,-0.044,0.8094,"(-0.044,0.8094)",0.4691,0.1766,0.0312,0.5688,0.7525,0.5107,0.2571,0.442
MOD13A3_006__1_km_monthly_NDVI_doy2019121_aid0001,_1_km_monthly_NDVI,aid0001,2019-05-01,1035.0,-0.0298,0.7908,"(-0.0298,0.7908)",0.5621,0.1545,0.0239,0.6524,0.7908,0.5971,0.3571,0.53
MOD13A3_006__1_km_monthly_NDVI_doy2019152_aid0001,_1_km_monthly_NDVI,aid0001,2019-06-01,1035.0,0.0185,0.8326,"(0.0185,0.8326)",0.6087,0.1407,0.0198,0.7101,0.8326,0.6399,0.2739,0.534
MOD13A3_006__1_km_monthly_NDVI_doy2019182_aid0001,_1_km_monthly_NDVI,aid0001,2019-07-01,1035.0,0.0545,0.8762,"(0.0545,0.8762)",0.6502,0.131,0.0172,0.7434,0.8762,0.675,0.3572,0.5854
MOD13A3_006__1_km_monthly_NDVI_doy2019213_aid0001,_1_km_monthly_NDVI,aid0001,2019-08-01,1035.0,0.2352,0.8617,"(0.2352,0.8617)",0.7198,0.0862,0.0074,0.781,0.8617,0.7401,0.5287,0.6787
MOD13A3_006__1_km_monthly_NDVI_doy2019244_aid0001,_1_km_monthly_NDVI,aid0001,2019-09-01,1035.0,0.1574,0.8497,"(0.1574,0.8497)",0.6364,0.098,0.0096,0.707,0.8497,0.6385,0.3842,0.5774
